id,y_true,y_pred,absolute_error
1735648050.115183,132.0,121.22650413525088,10.773495864749123
1735648060.132832,72.0,65.3907931623051,6.609206837694899
1735648070.148132,73.0,152.38094687603638,79.38094687603638
1735648080.163293,109.0,108.54802746526389,0.45197253473611454
1735648090.170947,219.0,146.6456135715725,72.35438642842749
1735648100.186195,70.0,59.373708463489805,10.626291536510195
1735648110.201506,131.0,129.05329822369725,1.9467017763027457
1735648120.215368,233.0,199.27989729779497,33.720102702205025
1735648130.229867,252.0,240.84721173414746,11.152788265852536
1735648140.242444,293.0,199.69676012983768,93.30323987016232
1735648150.25593,167.0,184.0685612435638,17.068561243563806
1735648160.268695,153.0,118.44344405446542,34.55655594553458
1735648170.28386,249.0,210.08705555805898,38.91294444194102
1735648180.298927,141.0,166.00456206850896,25.00456206850896
1735648190.305308,67.0,187.23613210599729,120.23613210599729
1735648200.311368,80.0,79.05271657222744,0.947283427772561
1735648210.316155,225.0,169.5568762854548,55.44312371454521
1735648220.331154,92.0,77.82913280746159,14.17086719253841
1735648230.338939,168.0,124.01761825185305,43.98238174814695
1735648240.353139,40.0,136.2340653108199,96.23406531081989
1735648250.368554,295.0,221.77392889122234,73.22607110877766
1735648260.383499,138.0,171.82608717603588,33.826087176035884
1735648270.397632,292.0,195.91816334725578,96.08183665274422
1735648280.41363,97.0,124.3412578117174,27.341257811717398
